Product Name,MRP,Short description
Men White Solid Regular Fit Cotton Casual Badge Shirt,2299,"White solid denim Casual shirt, has a spread collar, button placket, 2 patch pocket, long roll-up sleeves, curved hem"
Men Green Tartan Checks Roll-Up Sleeves Pure Cotton Casual Shirt,2349,"Green tartan checks checked opaque Casual shirt ,has a spread collar, button placket, 1 flap pocket, long roll-up sleeves, curved hem"
Men Blue Solid Pure Cotton Slim Fit Casual Shirt,2199,"Blue solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Windowpane Checks Checked Pure Cotton Casual Shirt,2499,"Navy blue windowpane checks checked opaque Casual shirt ,has a button-down collar, button placket, pocket, long regular sleeves, curved hem"
Men Solid Organic Cotton Classic Casual Shirt,4599,"Taupe solid opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Rust Orange & Brown Custom Slim Fit Printed Pure Cotton Casual Shirt,2299,"Rust geometric printed opaque Casual shirt ,has a cutaway collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Lime Green Comfort Horizontal Striped Cotton Casual Shirt,1499,"Lime green horizontal stripes striped opaque Casual shirt ,has a spread collar, button placket, 1 pocket, long regular sleeves, curved hem"
Men Maroon Cotton Linen Sustainable Casual Shirt,2199,"Maroon solid casual shirt, has a mandarin collar, long sleeves, curved hem,"
Men Olive Green Slim Fit Striped Pure Cotton Casual Shirt,2499,"Olive green striped opaque Casual shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Black Slim Fit Opaque Cotton Casual Shirt,2299,"Black solid opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
The Lifestyle Co. Men Blue Printed Slim Fit Pure Cotton Casual Shirt,1699,"Blue geometric printed opaque Casual shirt ,has a mandarin collar, button placket, long regular sleeves, curved hem"
Men Beige Classic Micro Ditsy Printed Pure Cotton Casual Shirt,1549,"Beige micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, short regular sleeves, curved hem"
Men Slim Fit Checked Pure Cotton Casual Shirt,1899,"Other checks checked opaque Casual shirt ,has a spread collar, button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Black Classic Cotton Casual Shirt,2750,"Black solid  opaque Casual shirt ,has a cutaway collar, button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Navy Blue Conversational Opaque Printed Pure Cotton Casual Shirt,1599,"Navy blue and white conversational print opaque casual shirt, has a spread collar, full button placket, long roll-up sleeves, and curved hem"
Men Orange Tailored Fit Pinstripes Opaque Pure Cotton Casual Shirt,2199,"Orange and white pinstripes opaque casual shirt, has a spread collar, full button placket, 1 patch pocket, long roll-up sleeves, and curved hem"
Men Blue Slim Fit Floral Printed Pure Cotton Casual Shirt,1599,"Blue floral printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Pure Cotton Checked Casual Shirt,1899,"Other checks checked opaque Casual shirt ,has a spread collar, button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Slim Fit Pure Cotton Tartan Checked Casual Shirt,1899,"Tartan checks checked opaque Casual shirt ,has a spread collar, button placket, 2 flap pocket, long regular sleeves, straight hem"
Men Textured Pure Cotton Roll Up Sleeves Casual Shirt,2899,"Textured self design opaque Casual shirt ,has a spread collar, button placket, 2 patch pocket, long roll up sleeves, curved hem"
Men Tartan Checked Casual Regular Fit Linen Shirt,2899,"Brown tartan checks checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Floral Printed Pure Cotton Casual Shirt,2799,"Navy blue floral printed opaque casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Blue Solid Slim Fit Pure Cotton Casual Shirt,1599,"Blue solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Pure Cotton Casual Shirt,4049,"Solid opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Solid Casual Regular Fit Linen Shirt,2699,"Blue solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Grey Slim Fit Pure Cotton Checked Casual Shirt,2495,"Grey tartan checks opaque Casual shirt ,has a button-down collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men White Slim Fit Checked Pure Cotton ??????Casual Shirt,1899,"White other checks checked opaque Casual shirt ,has a spread collar, button placket, 2 flap pocket, long regular sleeves, curved hem"
Men White Cotton Sustainable Casual Shirt,2999,"White solid opaque Casual shirt ,has a mandarin collar, button placket, long regular sleeves, curved hem"
Men Orange Tailored Fit Tartan Checks Opaque Pure Cotton Casual Shirt,2499,"Orange, white, and blue tartan checks opaque casual shirt, has a spread collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men Black Slim Fit Checked Pure Cotton ???????Casual Shirt,1899,"Black other checks checked opaque Casual shirt ,has a spread collar, button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Tartan Checked Pure Cotton Casual Shirt,1899,"Tartan checks checked opaque Casual shirt ,has a spread collar, snap button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Blue Checked Pure Cotton Casual Shirt,1899,"Blue other checks checked opaque Casual shirt ,has a spread collar, snap button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Opaque Micro Ditsy Printed Cotton Casual Shirt,1999,"Navy blue micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Brown Printed Pure Cotton Casual Shirt,1699,"Brown geometric printed opaque Casual shirt ,has a mandarin collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men Light Olive Green Standard Slim Fit Striped Cotton Pure Casual Shirt,2299,"Product Details:
Light Olive Green vertical stripes opaque Casual shirt ,
has a spread collar,
button placket,
1 patch pocket,
long roll-up sleeves,
curved hem"
The Lifestyle Co Men Green & White Printed Pure Cotton Casual Shirt,1699,"Green geometric printed opaque Casual shirt ,has a mandarin collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men Navy Blue Slim Fit Floral Printed Cotton Casual Shirt,2499,"Navy blue floral printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Multicoloured Slim Fit Printed Cotton Casual Shirt,1599,"Multicoloured abstract printed opaque Casual shirt, has a spread collar, button placket, 1 pocket, short regular sleeves, curved hem"
Men Black Pure Cotton Original Slim Fit Short Sleeves Casual Shirt,2799,"Black brand logo solid opaque Casual shirt, has a spread collar, button placket, short regular sleeves, curved hem"
Men Tartan Checks Cotton Casual Shirt,1999," Tartan checks 
Opaque Casual shirt
Has a spread collar
Button placket
No pocket
Long ,regular sleeves
Curved hem"
Men Maroon Textured Sport Fit Pure Cotton Casual Shirt,1999,"Maroon textured opaque Casual shirt ,has a cutaway collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
U S Polo Assn Denim Co Men White & Yellow Printed Pure Cotton Casual Shirt,1999,"White abstract printed opaque Casual shirt ,has a spread collar, snap button placket, 2 patch pocket, long regular sleeves, curved hem"
Men Blue SNOOP Slim Fit Printed Pure Cotton Casual Shirt,1699,"Blue geometric printed casual shirt, has a spread collar, button placket, long regular sleeves, curved hem"
Men Slim Fit Striped Casual Cotton Shirt,1999,"Vertical striped opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Checked Pure Cotton Casual Shirt,1949,"White and navy blue checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Blue Slim Fit Striped Cotton Casual Shirt,2799,"Blue vertical striped opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Relaxed Fit Oxford Shirt,1999,"Shirt in Oxford cotton with a button-down collar, classic front, yoke at the back and an open chest pocket. Long sleeves with buttoned cuffs and a sleeve placket with a link button, and a gently rounded hem. Relaxed Fit a straight fit with good room for movement creating a comfortable, relaxed silhouette."
Men Smart Slim Fit Linen Cotton Casual Shirt,1999,"Solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, short roll-up sleeves, curved hem"
Men Mustard Yellow Slim Fit Casual Cotton Shirt,1149,"Mustard Yellow solid opaque Casual shirt ,has a slim collar, button placket, 1 patch pocket, short roll-up sleeves, curved hem"
Men Green Slim Fit Cotton Checked Casual Shirt,1949,"Green micro checks checked opaque Casual shirt ,has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Maroon Printed Pure Cotton Slim Fit Casual Shirt,2399,"Maroon micro ditsy printed opaque casual shirt, has a spread collar, full button placket, 1 patch pocket on chest, long regular sleeves, and curved hem"
Men Slim Fit Gingham Checks Casual Cotton Shirt,2199,"Gingham checks opaque Casual shirt ,has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Brown Slim Fit Printed Cotton Formal Shirt,1799,"Brown geometric printed opaque Formal shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Off White Standard Slim Fit Printed Pure Cotton Casual Shirt,1799,"Product details:
Off white ethnic motifs printed opaque Casual shirt ,
has a mandarin collar,
button placket,
1 patch pocket,
long roll-up sleeves,
curved hem"
Men White Slim Fit Tartan Checked Pure Cotton Casual Shirt,3899,"White tartan checked Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Teal Comfort Cotton Casual Shirt,2530,"Teal solid opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Pure Cotton Chiseled Slim Fit Casual Shirt,2099,"Solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Green Comfort Floral Printed Cotton Casual Shirt,2595,"Green floral printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men White Solid Linen Slim Fit Casual Shirt,3099,"White solid casual shirt ,has a spread collar, button placket, long roll-up sleeves, curved hem"
Men Green & White Striped Slim Fit Pure Cotton Casual Shirt,1899,"Green vertical stripes striped opaque Casual shirt ,has a spread collar, button placket, short regular sleeves, curved hem"
Men Blue & Sea Green Comfort Floral Printed Cotton Casual Shirt,2595,"Blue & sea green floral printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Classic Floral Printed Pure Cotton Casual Shirt,2999,"Floral printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Green Standard Solid Opaque Pure Cotton Casual Shirt With Chest Pocket,2299,"Green solid solid opaque casual shirt, has a button-down collar, full button placket, 1 patch pocket, long roll-up sleeves, and curved hem"
Men Black Printed Slim Fit Cotton Casual Shirt,2799,"Black abstract printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, short regular sleeves, curved hem"
Men Chiseled Slim Fit Printed Pure Cotton Casual Shirt,2399,"Micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Beige Floral Printed Cotton Slim Fit Casual Shirt,2799,"Beige floral printed opaque Casual shirt ,has a spread collar, button placket, short regular sleeves, curved hem"
Men Navy Blue Tailored Fit Striped Pure Cotton Casual Shirt,2399,"Navy blue vertical striped opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Checked Cotton Slim Fit Casual Shirt,1799,"Tartan checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Pink Pure Cotton Casual Shirt,2049,"Pink solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Printed Pure Cotton Casual Shirt,1799,"Navy blue abstract printed opaque Casual shirt ,has a cutaway collar, button placket, long regular sleeves, curved hem"
Men Mandarin Collar Linen Cotton Casual Shirt,2599,"Solid opaque Casual shirt ,has a mandarin collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Red Slim Fit Printed Cotton Casual Shirt,1599,"Red micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, na pocket, long regular sleeves, curved hem"
The Lifestyle Co Men Rust Brown Printed Pure Cotton Casual Shirt,1699,"Rust brown printed opaque Casual shirt, has a mandarin collar, button placket, long roll-up sleeves, curved hem"
Men White Classic Tailored Fit Cotton Half Sleeve Casual Shirt,1999,"White solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, short regular sleeves, curved hem"
Men Red Slim Fit Striped Pure Cotton Casual Shirt,2595,"Red vertical stripes striped opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Printed Pure Cotton Casual Shirt,2299,"Brown and White geometric printed Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Light Olive Green And White Self Design Slim Fit Cotton Linen Casual Shirt,3299,"Light Olive green and White textured self design Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Maroon Printed Pure Cotton Casual Shirt,1599,"Maroon micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Floral Printed Cotton Casual Shirt,2099,"Navy blue floral printed opaque casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Blue Classic Micro Ditsy Printed Pure Cotton Casual Shirt,1599,"Blue micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue & White Slim Fit Tartan Checked Pure Cotton Casual Shirt,2199,"Navy Blue & White tartan checked opaque casual shirt, has a spread collar, button placket, long regular sleeves, curved hem"
Men Navy Blue & White Slim Fit Tartan Checked Pure Cotton Casual Shirt,2599,"Navy blue & White tartan checked opaque pure cotton casual shirt ,has a spread collar, button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Printed Cotton Casual Shirt,1399,"Navy blue abstract printed opaque Casual shirt ,has a spread collar, button placket, 1 pocket, long regular sleeves, curved hem"
Men Blue Printed Casual Cotton Shirt,2049,"Blue geometric printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Teal Printed Cotton Casual Shirt,1799,"Teal micro ditsy printed opaque Casual shirt ,has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Multicoloured Slim Fit Checked Casual Cotton Linen Shirt,2499,"Multicoloured other checks checked opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Cotton Casual Shirt,2449,"Navy blue solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Casual Pure Cotton Shirt,1299,"Solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Relaxed Casual Linen Shirt,3599,"Blue solid checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Blue Pure Cotton Casual Shirt,1799,"Blue solid opaque Casual shirt ,has a button-down collar, button placket, 1 patch pocket, short regular sleeves, curved hem"
Men Grey Slim Fit Floral Printed Cotton Casual Shirt,1399,"Grey and Blue floral printed opaque Casual shirt ,has a spread collar, button placket, 1 pocket, long regular sleeves, curved hem"
Men Slim Fit Faded Casual Cotton Shirt,2349,"Faded opaque Casual shirt ,has a spread collar, button placket, 2 flap pocket, long regular sleeves, curved hem"
Men Yellow Cotton Casual Shirt,1299,"Yellow solid solid opaque Casual shirt ,has a spread collar, button placket, na pocket, long regular sleeves, curved hem"
Men Pure Cotton Classic Grid Checked Casual Shirt,3999,"White & blue grid tattersall checked opaque casual shirt, has a spread collar, button placket, short regular sleeves, curved hem"
Men Printed Cotton Slim Fit Casual Shirt,1899,"Micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, short regular sleeves, curved hem"
Men Black Slim Fit Checked Pure Cotton Casual Shirt,2199,"Black checked Casual shirt ,has a spread collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men Cotton Slim Fit Printed Casual Shirt,2299,"Blue ethnic motifs printed opaque Casual shirt ,has a spread collar, button placket, long roll-up sleeves, curved hem"
Men Mustard & Grey Regular Fit Checked Cotton Casual Shirt,2399,"Mustard & Grey checked casual shirt, has a spread collar, button placket, and curved hem"
Men Blue Pure Cotton Striped Spread Collar Roll Up Sleeves Casual Shirt,1899,"Blue vertical stripes striped opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men Burgundy Colourblocked Pure Cotton Casual Shirt,2799,"Burgundy colourblocked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Tartan Checked Slim Fit Pure Cotton Casual Shirt,2399,"White tartan checked opaque casual shirt, has a spread collar, button placket, 1 patch pocket, long cuffed sleeves, curved hem"
Men Blue Solid Cotton Linen Casual Shirt,1999,"Blue solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Pure Cotton Casual Shirt,1899,"Solid opaque casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Printed Pure Cotton Casual Shirt,1899,"Abstract printed opaque casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Blue Slim Fit Tartan Checked Cotton Casual Shirt,1999,"Blue tartan checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Beige & Navy Blue Tartan Checks Cotton Sustainable Casual Shirt,1299,"Beige and navy blue tartan checked Casual shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Olive Green Solid Slim Fit Pure Cotton Casual Shirt,2299,"Olive green solid Casual shirt ,has a spread collar, black strap on sides, button placket, long regular sleeves, curved hem"
Men Navy Blue & Orange Tartan Checks Pure Cotton Opaque Casual Shirt,1299,"Navy blue and orange tartan checks checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Cotton Slim Fit Casual Shirt,1399,"Solid opaque Casual shirt ,has a mandarin collar, button placket, 1 patch pocket, short regular sleeves, curved hem"
Men Blue Slim Fit Printed Casual Cotton Shirt,1899,"Blue micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men Slim Fit Tartan Checks Knitted Cotton Casual Shirt,1595,"Tartan checks opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Green Tartan Checked Slim Fit Pure Cotton Casual Shirt,2399,"Green tartan checked opaque casual shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Mandarin Collar Casual Cotton Shirt,2299,"Solid opaque Casual shirt ,has a mandarin collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Maroon Slim Fit Printed Casual Cotton Shirt,2999,"Maroon micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Green Regular Fit Cotton shirt,1999,"Shirt in a cotton weave with a turn-down collar, classic front and yoke with a box pleat at the back. Regular fit with long sleeves, adjustable buttoning at the cuffs and a sleeve placket with a link button. Gently rounded hem."
Men Grey Casual Cotton Shirt,2399,"Grey solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Striped Cotton Casual Shirt,2398,"Vertical stripes striped opaque Casual shirt ,has a button-down collar, button placket, long regular sleeves, curved hem"
Plus Size Men Sea Green Chiseled Slim Fit Pure Cotton Casual Shirt,2399,"Plus Size
Sea green solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Pure Cotton Casual Shirt,2199,"Navy blue solid opaque casual shirt ,has a mandarin collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Slim Fit Floral Printed Cotton Casual Shirt,1575,"Floral printed opaque Casual shirt ,has a spread collar, button placket, short regular sleeves, curved hem"
Plus Size Men Blue & Grey Slim Fit Tartan Checked Pure Cotton Casual Shirt,2399,"Blue & grey tartan checks checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Cotton Horizontal Stripes Striped Casual Shirt,2299,"Black horizontal stripes striped opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Green Solid Super Slim Fit Pure Cotton Casual Shirt,1199,"Green solid opaque Casual shirt ,has a cutaway collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Black Slim Fit Horizontal Stripes Pure Cotton Casual Shirt,2799,"Product Details:
Black horizontal stripes opaque Casual shirt ,
has a spread collar,
button placket,
1 patch pocket,
long roll-up sleeves,
curved hem"
Men Pink & Navy Blue Opaque Checked Pure Cotton Casual Shirt,2399,"Pink and navy blue other checks checked opaque casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, straight hem"
Men Slim Fit Tartan Checked Casual Pure Cotton Shirt,1999,"Olive green tartan checks opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Cotton Slim Fit Floral Printed Casual Shirt,1620,"Navy blue floral printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Blue Printed Cotton Casual Shirt,1599,"Blue conversational printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men White Comfort Floral Printed Cotton Casual Shirt,2500,"White floral printed opaque casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Chiseled Slim Fit Printed Casual Cotton Shirt,2399,"Micro ditsy printed opaque Casual shirt ,has a spread collar, button placket, 1 pocket, short regular sleeves, curved hem"
Men Navy Blue Comfort Floral Printed Cotton Casual Shirt,2500,"Navy blue floral printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Slim Fit Formal Pure Cotton Shirt,2499,"Solid opaque Formal shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Chiseled Slim Fit Grid Tattersall Checks Pure Cotton Casual Shirt,2399,"Grid tattersall checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue & Maroon Colourblocked Pure Cotton Shirt,1698,"Navy blue and maroon colourblocked Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Pure Cotton Floral Printed Casual Shirt,1599,"Peach-coloured floral printed opaque casual shirt, has a spread collar, button placket, short regular sleeves, curved hem"
Men Teal Checked Cotton Casual Shirt,1999,"Teal other checks checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Green Slim Fit Opaque Pure Cotton Casual Shirt,1999,"Green solid opaque casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men Blue Slim Fit Opaque Checked Pure Cotton Casual Shirt,1999,"Blue tartan checks checked opaque Casual shirt ,has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men White Comfort Cotton Casual Shirt,2500,"White textured solid opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
U S Polo Assn Men Solid Tailored Fit Pure Cotton Casual Shirt,2899,"Solid opaque pure cotton casual shirt ,has a spread collar, button placket, 1 patch pocket, short regular sleeves, curved hem"
Men Black Comfort Floral Printed Cotton Casual Shirt,2500,"Black floral printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Pure Cotton Slim Fit Checked Smart Casual Shirt,2199,"Blue and white checked smart casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men White Slim Fit Windowpane Checks Checked Pure Cotton Formal Shirt,2999,"White windowpane checks checked opaque Formal shirt ,has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Blue Slim Fit Printed Pure Cotton Shirt,2199,"Blue geometric printed Casual shirt ,has a cutaway collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Green & Blue Slim Fit Tropical Printed Cotton Casual Shirt,2299,"Green and blue tropical printed opaque Casual shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue Comfort Cotton Casual Shirt,2500,"Navy blue solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Green Solid Pure Cotton Casual Shirt,2799,"Green solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue Comfort Printed Cotton Casual Shirt,2500,"Navy blue conversational printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
Men White Comfort Printed Cotton Casual Shirt,2500,"White conversational printed opaque Casual shirt ,has a spread collar, button placket, long regular sleeves, curved hem"
